Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),P/E,P/B,Div Yield,Total Returns Index
01-Jan-1999,886.75,892.2,882.6,890.8,31356585,807.26,11.62,2.07,1.83,
04-Jan-1999,896.4,905.45,895.75,897.8,32224833,811.39,11.72,2.08,1.81,
05-Jan-1999,901,907.2,893.15,907.2,36723940,876.41,11.84,2.11,1.79,
06-Jan-1999,923.3,930.55,915.65,928.25,43232321,1149.13,12.11,2.16,1.75,
07-Jan-1999,932.95,961.15,932.95,954.7,65480034,1426.68,12.46,2.22,1.71,
08-Jan-1999,969.95,990.05,966.4,990.05,65940665,1494.3,12.92,2.3,1.64,
11-Jan-1999,1005.15,1016.3,985.6,985.6,68195393,1771.62,12.86,2.29,1.65,
12-Jan-1999,976.7,985.55,953.9,964.45,48161247,1209.22,12.59,2.24,1.69,
13-Jan-1999,980.3,986.25,958.05,961.2,47242946,1151.3,12.54,2.23,1.69,
14-Jan-1999,948,968.4,944.5,954.75,45300099,1120.47,12.46,2.22,1.7,
15-Jan-1999,961.7,967.85,932.25,934.3,40468309,1225.34,12.19,2.17,1.74,
18-Jan-1999,938.65,945.05,922.8,944.9,34511324,893.02,12.33,2.19,1.72,
19-Jan-1999,944.15,948,923.2,924.1,39486242,1040.48,12.06,2.15,1.76,
21-Jan-1999,935.15,967.2,932.8,967.2,49362375,1331,12.84,2.29,1.65,
22-Jan-1999,976.6,980.45,955.15,957.05,40609469,1076.9,12.71,2.26,1.67,
25-Jan-1999,954.35,956.65,935,949.8,40886744,1091.78,12.61,2.24,1.68,
27-Jan-1999,968.55,985.25,967.65,971.3,41775036,1224.35,12.9,2.29,1.65,
28-Jan-1999,971.2,976.75,954.25,955.1,27405902,789.56,12.68,2.26,1.68,
29-Jan-1999,956.8,966.35,952.7,966.2,24052319,751.62,12.83,2.28,1.66,
01-Feb-1999,962.4,968.05,940.15,940.15,23175431,731.92,12.48,2.22,1.7,
02-Feb-1999,940.1,945.15,924.95,931.2,30674923,859.68,12.36,2.2,1.72,
03-Feb-1999,948,955.55,940.75,952.4,27335489,801.51,12.64,2.25,1.69,
04-Feb-1999,957.15,958.8,937.5,939.7,29432712,868.91,12.48,2.22,1.71,
05-Feb-1999,939.65,943.7,930.1,936.3,23475400,710.09,12.43,2.21,1.71,
08-Feb-1999,937.75,940.9,916.5,916.5,23981136,848.21,12.17,2.17,1.75,
09-Feb-1999,914.7,924.75,907.45,924.75,29541446,852.68,12.28,2.18,1.73,
